Time in milliSecond	x	y	z
9471109	-0.871702	12.707785	1.511859
9471119	-0.721878	12.557961	1.702543
9471129	-0.503953	12.435377	2.315459
9471141	-0.245166	12.258313	3.187161
9471151	-0.136203	12.013146	4.222308
9471162	0.095342	11.604536	4.780742
9471172	0.286027	11.114203	5.162112
9471182	0.531194	10.705593	4.780742
9471192	0.8036	10.310603	3.949901
9471202	1.021526	10.051817	3.023717
9471213	1.15773	10.010956	2.315459
9471223	0.994285	10.147159	2.070293
9471233	0.721878	10.378705	2.152015
9471244	0.286027	10.59663	2.887514
9471254	-0.177065	10.746454	3.486809
9471263	-0.490333	10.637491	3.990762
9471274	-0.858082	10.55577	4.154206
9471283	-1.103248	10.283362	4.30403
9471294	-1.198591	9.80665	4.086104
9471304	-1.225831	9.438901	3.731975
9471314	-1.048767	8.771504	3.214402
9471324	-0.830841	8.104107	2.792171
9471335	-0.476712	7.545672	2.152015
9471345	-0.245166	7.0281	1.988571
9471355	-0.136203	6.769313	1.797886
9471366	0.245166	6.401564	1.634442
9471376	0.449471	6.26536	1.55272
9471385	0.503953	6.333462	1.620821
9471396	0.40861	6.496906	1.675303
9471406	0.354129	6.714831	1.675303
9471416	0.245166	7.014479	1.55272
9471426	0.177065	7.300507	1.321174
9471436	0.095342	7.477571	0.871702
9471449	-0.095342	7.736358	0.585675
9471458	-0.177065	8.022385	0.39499
9471468	-0.217926	8.281172	0.313268
9471479	-0.40861	8.730643	0.517573
9471489	-0.476712	8.825985	0.503953
9471500	-0.531194	9.057531	0.531194
9471511	-0.517573	9.41166	0.735499
9471521	-0.572055	9.588725	0.994285
9471531	-0.503953	9.684067	1.239452
9471542	-0.313268	9.874752	1.280313
9471552	-0.326888	10.051817	1.430137
9471562	-0.422231	10.215261	1.416516
9471572	-0.354129	10.487668	1.18497
9471583	-0.422231	10.800936	1.15773
9471593	-0.612916	11.005241	1.212211
9471603	-0.817221	11.277648	1.607201
9471615	-1.225831	11.713499	2.083913
9471625	-1.525479	12.026767	2.601486
9471635	-1.607201	12.14935	2.928375
9471645	-1.539099	12.176591	2.833032
9471656	-1.430137	12.026767	2.887514
9471666	-1.239452	11.836082	2.628727
9471676	-1.035146	11.577295	2.3427
9471687	-0.980665	11.481953	2.152015
9471697	-1.17135	11.413852	2.192876
9471707	-1.348414	11.563675	2.247357
9471717	-1.607201	11.699879	2.315459
9471728	-1.729784	11.645397	2.587866
9471738	-1.797886	11.577295	2.73769
9471748	-1.852367	11.34575	3.309745
9471758	-2.083913	11.059722	3.677494
9471769	-2.152015	10.760075	4.072484
9471779	-2.220117	10.337844	4.440233
